id,source_file,category,line_no,text
1,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,1,"경제, 금융, 화폐, 국제경제와 무역, 필수 금융 및 경제학 원론 용어 총 550개"
2,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,2,Absolute Advantage(절대우위): 다른 나라보다 더 적은 비용으로 생산할 수 있는 능력
3,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,3,Absolute Income Hypothesis(절대소득가설): 소비자의 소비 규모는 현재의 절대적인 소득 수준에 의해 결정된다는 케인스의 경제 이론
4,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,4,Accelerator(액셀러레이터): 스타트업이 빠르게 성장하도록 자금 투자와 전문 보육을 해주는 기관
5,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,5,Accounting(회계): 기업의 재무 상태와 경영 성과를 체계적으로 기록하고 보고하는 과정
6,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,6,Accrual(발생주의): 현금의 유출입과 관계없이 수익과 비용이 발생한 시점에 장부에 기록하는 회계 원칙
7,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,7,Active Fund(액티브 펀드): 시장 평균 수익률(벤치마크)을 초과하는 수익을 올리기 위해 펀드 매니저가 적극적으로 종목을 발굴하고 매매하는 펀드
8,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,8,Adverse Selection(역선택): 정보의 비대칭성 때문에 시장에서 품질이 나쁜 상품이나 위험도가 높은 거래 상대방을 선택하게 되는 부작용
9,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,9,Agency Cost(대리인 비용): 주주(주인)와 경영자(대리인) 간의 이해 상충으로 인해 발생하는 경제적 손실
10,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,10,Agflation(애그플레이션): 농산물(Agriculture) 가격 급등으로 전반적인 물가가 오르는 현상
11,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,11,Aggregate Demand(총수요): 한 국가 경제 내에서 일정 기간 구매하고자 하는 재화와 서비스의 총합
12,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,12,Aggregate Supply(총공급): 한 국가 경제 내에서 일정 기간 생산자들이 판매하고자 하는 재화와 서비스의 총합
13,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,13,"AI(Artificial Intelligence, 인공지능): 컴퓨터가 인간의 지능적인 행동을 모방하는 기술"
14,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,14,"Alpha Generation(알파 세대): 2010년 이후 태어난, 태어날 때부터 디지털 기기를 접한 세대"
15,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,15,Alpha(알파): 펀드나 주식 투자가 시장의 평균(벤치마크) 수익률을 초과하여 달성한 추가 수익
16,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,16,Altcoin(알트코인): 비트코인을 제외한 모든 대체 암호화폐의 통칭
17,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,17,"Amortization(감가상각/분할 상환): 무형 자산의 가치를 비용으로 나누어 처리하거나, 대출금을 기간에 나누어 갚는 것"
18,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,18,Anchor Effect(앵커링 효과/닻 내림 효과): 처음 접한 정보(가격)가 기준점이 되어 이후 판단에 영향을 미치는 심리 현상
19,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,19,Angel Investor(에인절 투자자): 스타트업 초기 단계에 자금과 멘토링을 제공하는 개인 투자자
20,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,20,"Animal Spirits(야성적 충동): 경제 주체들이 수치적 계산뿐만 아니라 비합리적인 본능, 심리, 기대감에 의해 경제 활동(투자 등)을 결정하는 현상"
21,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,21,Annuity(연금): 매년 또는 매월 일정 금액을 정기적으로 받는 금융 상품
22,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,22,Ant(개미): 주식시장에 참가하는 개인 투자자를 일컫는 은어
23,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,23,Antitrust(독점 금지): 거대 기업의 독과점을 막고 공정한 시장 경쟁을 촉진하기 위한 법률이나 정책
24,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,24,Appreciation(평가절상): 환율 변동으로 인해 타국 통화 대비 자국 통화의 가치가 상승하는 현상
25,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,25,Arbitrage(차익거래): 동일 상품의 시장 간 가격 차이를 이용하여 무위험 이익을 얻는 거래
26,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,26,"Arbitrage Pricing Theory(APT, 차익거래가격결정모형): 주식의 기대수익률이 시장의 다양한 거시경제적 위험 요인들에 의해 결정된다는 재무 모델"
27,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,27,"Asian Financial Crisis(아시아 외환위기): 1997년 태국, 인도네시아, 한국 등 아시아 신흥국들을 연쇄적으로 강타한 대규모 외환 및 금융 위기"
28,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,28,"Asset Allocation(자산 배분): 위험을 줄이기 위해 주식, 채권, 현금 등 다양한 자산에 투자금을 나누는 전략"
29,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,29,"Asset-Backed Security(ABS, 자산유동화증권): 부동산, 자동차 할부금, 신용카드 대금 등 유동성이 낮은 자산을 기초로 하여 발행하는 증권"
30,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,30,Asymmetric Information(정보 비대칭): 거래 당사자 간에 한쪽이 다른 쪽보다 더 많거나 정확한 정보를 가진 상태
31,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,31,Austerity(긴축): 국가 부채를 줄이기 위해 정부가 재정 지출을 삭감하고 세금을 올리는 정책
32,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,32,Autarky(자급자족 경제): 외국과의 무역을 완전히 차단하고 자국 내에서 모든 경제적 필요를 충족하려는 체제
33,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,33,"Average Propensity to Consume(APC, 평균소비성향): 가계의 총소비액을 총소득으로 나눈 비율로, 소득 중 얼마를 소비에 지출하는지 나타냄"
34,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,34,"B2B(Business to Business, 기업 간 거래): 기업이 다른 기업을 대상으로 상품이나 서비스를 판매하는 형태"
35,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,35,"B2C(Business to Consumer, 기업-소비자 거래): 기업이 일반 소비자를 대상으로 직접 상품을 판매하는 형태"
36,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,36,"B2G(Business to Government, 기업-정부 거래): 기업이 정부나 공공기관에 물품을 납품하거나 서비스를 제공하는 거래"
37,경제 금융 경제학(최종 550).hwpx,경제 금융 경제학,37,Bail-in(베일인/채권자 손실 부담): 은행 위기 시 정부 예산이 아닌 예금자나 채권자의 자금으로 손실을 메우는 제도
